legislature,session,vote_num,date,vote_type,title,deputy_name,group,vote
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,AIELLO DAVIDE,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,ALBANO LUCIA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,ALIFANO ENRICA,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,ALMICI CRISTINA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,AMATO GAETANO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,AMBROSI ALESSIA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,AMENDOLA VINCENZO,PD-IDP,Non ha partecipato
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,AMICH ENZO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,AMORESE ALESSANDRO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,ANDREUZZA GIORGIA,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,ANGELUCCI ANTONIO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,ANTONIOZZI ALFREDO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,APPENDINO CHIARA,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,ARRUZZOLO GIOVANNI,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,ASCANI ANNA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,ASCARI STEFANIA,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,AURIEMMA CARMELA,M5S,Contrario
